income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,client_segment,sect_empl,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,tenure_yrs,company_ic,claims_no,claims_am,nights_booked,gender,shop_am,shop_use,retired,gold_status,score1_pos,score1_neg,score2_pos,score2_neg,score3_pos,score3_neg,score4_pos,score4_neg,score5_pos,score5_neg
5660.0,4320.0,8640.0,0.0,0.0,8000.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,True,6.0,1.0,34033.0,42.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,575.0,48.0,0.0,0.0,0.0,52.0,V,4577.729167209796,1.0,0.0,1.0,0.538418669755998,0.3968194860479255,0.42374198056545537,0.7636076018513358,,,,,,
3990.0,9.0,3450.0,0.0,0.0,12500.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,True,5.0,0.0,36372.0,42.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,174.0,15.0,0.0,0.0,0.0,4.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,
1158.0,82.0,4194.0,408.0,4.0,12000.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,True,11.0,1.0,37619.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,229.0,19.0,0.0,0.0,0.0,222.0,M,0.0,0.0,0.0,0.0,0.009810822095597853,0.592842497066721,,,0.2524443046838512,0.7246933178941797,0.8180643666881074,0.3873614798356654,,
2451.0,791.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,True,5.0,0.0,29266.0,66.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,375.0,31.0,0.0,0.0,0.0,3.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,
946.0,222.0,2036.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,True,0.0,0.0,36221.0,63.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,417.0,35.0,0.0,0.0,0.0,34.0,V,0.0,0.0,0.0,0.0,,,,,,,,,,
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,True,6.0,0.0,22576.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,1.9389561518928302
1359.0,467.0,2395.0,0.0,0.0,12500.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,False,10.0,0.0,18045.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,184.0,15.0,0.0,0.0,0.0,13.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,
2591.0,869.0,2209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,7.0,0.0,31751.0,61.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,382.0,32.0,0.0,0.0,0.0,2.0,M,1415.021156740573,1.0,1.0,0.0,,,,,0.5804982283810558,0.5852236327849498,,,0.09794963751452314,5.28209049658802
6426.0,2018.0,9015.0,2333.0,2.0,10000.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,False,3.0,0.0,39853.0,33.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,136.0,11.0,0.0,0.0,0.0,4.0,M,0.0,0.0,0.0,0.0,,,,,0.5766048382786364,0.277479321699845,,,,
8622.0,3518.0,3014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,False,3.0,0.0,27090.0,79.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,324.0,27.0,0.0,0.0,0.0,33.0,V,0.0,0.0,1.0,0.0,0.29288789692566114,0.7889283756723119,,,,,,,,
280.0,22.0,1956.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,True,7.0,0.0,33268.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,26.0,2.0,0.0,0.0,0.0,13.0,V,0.0,0.0,0.0,0.0,,,,,0.8634763323180045,0.7401315342432478,,,0.9853474787829156,5.545299690555001
374.0,30.0,1729.0,0.0,0.0,5500.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,True,4.0,0.0,,23.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,107.0,9.0,0.0,0.0,0.0,19.0,V,0.0,0.0,0.0,0.0,,,0.7603890170730757,0.8873669254896944,,,,,,
1386.0,479.0,4054.0,562.0,3.0,8000.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,False,7.0,1.0,28830.0,46.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,323.0,27.0,0.0,0.0,0.0,74.0,M,0.0,0.0,0.0,0.0,0.2973878483020569,0.26133180049006216,,,,,,,0.03582978707161142,9.28913199011031
227.0,0.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,True,5.0,0.0,25249.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,3.0,0.0,0.0,0.0,4.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,
3532.0,1065.0,2337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,True,1.0,0.0,40046.0,58.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,290.0,24.0,0.0,0.0,0.0,4.0,V,0.0,0.0,1.0,0.0,0.9977033641676152,0.8542047628676946,0.1735319019024485,0.013939813677649376,,,0.34721878168885084,0.5894757490196167,,
1190.0,325.0,6688.0,1676.0,2.0,8500.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,False,5.0,1.0,34869.0,30.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,338.0,28.0,0.0,0.0,0.0,52.0,V,920.2104636428361,1.0,0.0,0.0,,,,,0.24555479885320416,0.1647528229057442,0.1658312595090518,0.09734625090824695,,
927.0,193.0,8747.0,0.0,1.0,3000.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,True,5.0,1.0,23132.0,23.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,129.0,11.0,0.0,1.0,0.0,4.0,V,1017.0028915944013,1.0,0.0,0.0,0.0685238307473314,0.5997306905737101,,,,,,,0.03652072627233622,-0.7382482035346698
254.0,10.0,3353.0,117.0,2.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,True,11.0,0.0,29018.0,49.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,254.0,21.0,0.0,0.0,0.0,28.0,M,0.0,0.0,0.0,0.0,,,,,,,,,,
10450.0,600.0,5322.0,0.0,0.0,15000.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,True,2.0,1.0,36177.0,38.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,479.0,40.0,0.0,0.0,0.0,55.0,M,0.0,0.0,0.0,0.0,,,0.7190181793542267,0.5660198878693075,,,0.576266547029909,0.2553405325305514,,
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,True,6.0,0.0,29753.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,123.0,10.0,0.0,0.0,0.0,1.0,V,0.0,0.0,0.0,0.0,0.9713858318825054,0.679476381577603,,,,,,,,
